name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;608;0;237;3083;978;3083;816;0
header;83;114;83;151;1702;151;1702;114
C;677;360;677;387;689;387;689;360
A;714;391;714;391;714;391;714;391
A;752;452;752;460;758;460;758;452
A;804;1258;804;1258;804;1258;804;1258
A;733;1273;733;1279;739;1279;739;1273
D;905;2281;905;2308;926;2308;926;2281
A;433;2741;433;2749;440;2749;440;2741
B;690;2743;690;2761;718;2761;718;2743
A;877;2777;877;2780;880;2780;880;2777
C;287;2817;287;2839;314;2839;314;2817
A;912;2852;912;2852;912;2852;912;2852
