name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;969;0;644;3079;1440;3079;1531;0
A;1081;558;1081;558;1085;558;1085;558
A;1184;699;1184;703;1188;703;1188;699
A;1453;969;1453;969;1455;969;1455;969
A;1319;983;1319;987;1321;987;1321;983
A;946;992;946;992;946;992;946;992
A;911;1018;911;1023;917;1023;917;1018
A;1277;1081;1277;1081;1279;1081;1279;1081
A;1092;1121;1092;1123;1096;1123;1096;1121
A;1388;1176;1388;1186;1392;1186;1392;1176
A;1383;1324;1383;1326;1387;1326;1387;1324
A;1180;1418;1180;1423;1183;1423;1183;1418
A;1107;1497;1107;1502;1109;1502;1109;1497
A;1295;1504;1295;1511;1304;1511;1304;1504
A;1300;1525;1300;1526;1302;1526;1302;1525
A;1042;1646;1042;1650;1044;1650;1044;1646
A;1204;2566;1204;2570;1206;2570;1206;2566
A;935;2578;935;2581;943;2581;943;2578
A;985;2698;985;2698;989;2698;989;2698
